instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt,Season Name
2600,2011-04-23,2,0,4,5,0,6,0,3,7,Summer
2601,2011-04-23,2,0,4,6,0,6,0,2,11,Summer
2602,2011-04-23,2,0,4,7,0,6,0,3,19,Summer
2603,2011-04-23,2,0,4,8,0,6,0,2,47,Summer
2604,2011-04-23,2,0,4,9,0,6,0,2,68,Summer
2605,2011-04-23,2,0,4,10,0,6,0,2,129,Summer
2606,2011-04-23,2,0,4,11,0,6,0,2,232,Summer
2607,2011-04-23,2,0,4,12,0,6,0,1,291,Summer
2608,2011-04-23,2,0,4,13,0,6,0,1,312,Summer
2609,2011-04-23,2,0,4,14,0,6,0,1,391,Summer
2610,2011-04-23,2,0,4,15,0,6,0,1,397,Summer
2611,2011-04-23,2,0,4,16,0,6,0,1,426,Summer
2612,2011-04-23,2,0,4,17,0,6,0,1,383,Summer
2613,2011-04-23,2,0,4,18,0,6,0,1,376,Summer
2614,2011-04-23,2,0,4,19,0,6,0,1,283,Summer
2615,2011-04-23,2,0,4,20,0,6,0,2,183,Summer
2616,2011-04-23,2,0,4,21,0,6,0,2,135,Summer
2617,2011-04-23,2,0,4,22,0,6,0,2,169,Summer
2618,2011-04-23,2,0,4,23,0,6,0,2,117,Summer
2619,2011-04-24,2,0,4,0,0,0,0,1,96,Summer
2620,2011-04-24,2,0,4,1,0,0,0,1,54,Summer
2621,2011-04-24,2,0,4,2,0,0,0,1,72,Summer
2622,2011-04-24,2,0,4,3,0,0,0,1,24,Summer
2623,2011-04-24,2,0,4,4,0,0,0,1,5,Summer
2624,2011-04-24,2,0,4,5,0,0,0,1,12,Summer
2625,2011-04-24,2,0,4,6,0,0,0,2,13,Summer
2626,2011-04-24,2,0,4,7,0,0,0,2,27,Summer
2627,2011-04-24,2,0,4,8,0,0,0,1,80,Summer
2628,2011-04-24,2,0,4,9,0,0,0,1,177,Summer
2629,2011-04-24,2,0,4,10,0,0,0,1,289,Summer
2630,2011-04-24,2,0,4,11,0,0,0,1,317,Summer
2631,2011-04-24,2,0,4,12,0,0,0,1,388,Summer
2632,2011-04-24,2,0,4,13,0,0,0,1,441,Summer
2633,2011-04-24,2,0,4,14,0,0,0,1,420,Summer
2634,2011-04-24,2,0,4,15,0,0,0,1,369,Summer
2635,2011-04-24,2,0,4,16,0,0,0,1,359,Summer
2636,2011-04-24,2,0,4,17,0,0,0,1,331,Summer
2637,2011-04-24,2,0,4,18,0,0,0,1,270,Summer
2638,2011-04-24,2,0,4,19,0,0,0,3,194,Summer
2639,2011-04-24,2,0,4,20,0,0,0,3,105,Summer
2640,2011-04-24,2,0,4,21,0,0,0,3,61,Summer
2641,2011-04-24,2,0,4,22,0,0,0,3,45,Summer
2642,2011-04-24,2,0,4,23,0,0,0,3,42,Summer
2643,2011-04-25,2,0,4,0,0,1,1,3,12,Summer
2644,2011-04-25,2,0,4,1,0,1,1,1,10,Summer
2645,2011-04-25,2,0,4,2,0,1,1,1,10,Summer
2646,2011-04-25,2,0,4,3,0,1,1,2,10,Summer
2647,2011-04-25,2,0,4,4,0,1,1,2,5,Summer
2648,2011-04-25,2,0,4,5,0,1,1,2,17,Summer
2649,2011-04-25,2,0,4,6,0,1,1,2,66,Summer
2650,2011-04-25,2,0,4,7,0,1,1,2,196,Summer
2651,2011-04-25,2,0,4,8,0,1,1,1,353,Summer
2652,2011-04-25,2,0,4,9,0,1,1,1,174,Summer
2653,2011-04-25,2,0,4,10,0,1,1,1,125,Summer
2654,2011-04-25,2,0,4,11,0,1,1,1,147,Summer
2655,2011-04-25,2,0,4,12,0,1,1,1,188,Summer
2656,2011-04-25,2,0,4,13,0,1,1,1,203,Summer
2657,2011-04-25,2,0,4,14,0,1,1,1,146,Summer
2658,2011-04-25,2,0,4,15,0,1,1,1,175,Summer
2659,2011-04-25,2,0,4,16,0,1,1,1,239,Summer
2660,2011-04-25,2,0,4,17,0,1,1,1,521,Summer
2661,2011-04-25,2,0,4,18,0,1,1,1,499,Summer
2662,2011-04-25,2,0,4,19,0,1,1,1,382,Summer
2663,2011-04-25,2,0,4,20,0,1,1,1,237,Summer
2664,2011-04-25,2,0,4,21,0,1,1,1,190,Summer
2665,2011-04-25,2,0,4,22,0,1,1,1,106,Summer
2666,2011-04-25,2,0,4,23,0,1,1,1,62,Summer
2667,2011-04-26,2,0,4,0,0,2,1,1,27,Summer
2668,2011-04-26,2,0,4,1,0,2,1,1,21,Summer
2669,2011-04-26,2,0,4,2,0,2,1,1,26,Summer
2670,2011-04-26,2,0,4,3,0,2,1,1,21,Summer
2671,2011-04-26,2,0,4,4,0,2,1,1,6,Summer
2672,2011-04-26,2,0,4,5,0,2,1,1,16,Summer
2673,2011-04-26,2,0,4,6,0,2,1,1,80,Summer
2674,2011-04-26,2,0,4,7,0,2,1,1,270,Summer
2675,2011-04-26,2,0,4,8,0,2,1,1,449,Summer
2676,2011-04-26,2,0,4,9,0,2,1,1,199,Summer
2677,2011-04-26,2,0,4,10,0,2,1,1,120,Summer
2678,2011-04-26,2,0,4,11,0,2,1,1,172,Summer
2679,2011-04-26,2,0,4,12,0,2,1,1,186,Summer
2680,2011-04-26,2,0,4,13,0,2,1,1,176,Summer
2681,2011-04-26,2,0,4,14,0,2,1,1,155,Summer
2682,2011-04-26,2,0,4,15,0,2,1,1,153,Summer
2683,2011-04-26,2,0,4,16,0,2,1,1,291,Summer
2684,2011-04-26,2,0,4,17,0,2,1,1,521,Summer
2685,2011-04-26,2,0,4,18,0,2,1,1,528,Summer
2686,2011-04-26,2,0,4,19,0,2,1,1,328,Summer
2687,2011-04-26,2,0,4,20,0,2,1,1,234,Summer
2688,2011-04-26,2,0,4,21,0,2,1,1,195,Summer
2689,2011-04-26,2,0,4,22,0,2,1,2,148,Summer
2690,2011-04-26,2,0,4,23,0,2,1,2,78,Summer
2691,2011-04-27,2,0,4,0,0,3,1,1,27,Summer
2692,2011-04-27,2,0,4,1,0,3,1,1,17,Summer
2693,2011-04-27,2,0,4,2,0,3,1,1,5,Summer
2694,2011-04-27,2,0,4,3,0,3,1,2,7,Summer
2695,2011-04-27,2,0,4,4,0,3,1,1,6,Summer
2696,2011-04-27,2,0,4,5,0,3,1,2,17,Summer
2697,2011-04-27,2,0,4,6,0,3,1,1,84,Summer
2698,2011-04-27,2,0,4,7,0,3,1,2,246,Summer
2699,2011-04-27,2,0,4,8,0,3,1,2,444,Summer
2700,2011-04-27,2,0,4,9,0,3,1,2,181,Summer
2701,2011-04-27,2,0,4,10,0,3,1,2,92,Summer
2702,2011-04-27,2,0,4,11,0,3,1,2,156,Summer
2703,2011-04-27,2,0,4,12,0,3,1,1,173,Summer
2704,2011-04-27,2,0,4,13,0,3,1,1,150,Summer
2705,2011-04-27,2,0,4,14,0,3,1,1,148,Summer
2706,2011-04-27,2,0,4,15,0,3,1,1,138,Summer
2707,2011-04-27,2,0,4,16,0,3,1,1,218,Summer
2708,2011-04-27,2,0,4,17,0,3,1,3,521,Summer
2709,2011-04-27,2,0,4,18,0,3,1,3,412,Summer
2710,2011-04-27,2,0,4,19,0,3,1,1,260,Summer
2711,2011-04-27,2,0,4,20,0,3,1,1,218,Summer
2712,2011-04-27,2,0,4,21,0,3,1,1,145,Summer
2713,2011-04-27,2,0,4,22,0,3,1,2,129,Summer
2714,2011-04-27,2,0,4,23,0,3,1,2,78,Summer
2715,2011-04-28,2,0,4,0,0,4,1,1,54,Summer
2716,2011-04-28,2,0,4,1,0,4,1,2,20,Summer
2717,2011-04-28,2,0,4,2,0,4,1,2,21,Summer
2718,2011-04-28,2,0,4,3,0,4,1,2,3,Summer
2719,2011-04-28,2,0,4,4,0,4,1,2,9,Summer
2720,2011-04-28,2,0,4,5,0,4,1,2,13,Summer
2721,2011-04-28,2,0,4,6,0,4,1,2,86,Summer
2722,2011-04-28,2,0,4,7,0,4,1,2,215,Summer
2723,2011-04-28,2,0,4,8,0,4,1,2,398,Summer
2724,2011-04-28,2,0,4,9,0,4,1,3,183,Summer
2725,2011-04-28,2,0,4,10,0,4,1,2,54,Summer
2726,2011-04-28,2,0,4,11,0,4,1,2,84,Summer
2727,2011-04-28,2,0,4,12,0,4,1,2,107,Summer
2728,2011-04-28,2,0,4,13,0,4,1,2,121,Summer
2729,2011-04-28,2,0,4,14,0,4,1,1,142,Summer
2730,2011-04-28,2,0,4,15,0,4,1,1,163,Summer
2731,2011-04-28,2,0,4,16,0,4,1,1,270,Summer
2732,2011-04-28,2,0,4,17,0,4,1,1,455,Summer
2733,2011-04-28,2,0,4,18,0,4,1,1,530,Summer
2734,2011-04-28,2,0,4,19,0,4,1,1,404,Summer
2735,2011-04-28,2,0,4,20,0,4,1,1,269,Summer
2736,2011-04-28,2,0,4,21,0,4,1,1,194,Summer
2737,2011-04-28,2,0,4,22,0,4,1,1,153,Summer
2738,2011-04-28,2,0,4,23,0,4,1,1,110,Summer
2739,2011-04-29,2,0,4,0,0,5,1,1,48,Summer
2740,2011-04-29,2,0,4,1,0,5,1,1,31,Summer
2741,2011-04-29,2,0,4,2,0,5,1,1,10,Summer
2742,2011-04-29,2,0,4,3,0,5,1,1,5,Summer
2743,2011-04-29,2,0,4,4,0,5,1,1,6,Summer
2744,2011-04-29,2,0,4,5,0,5,1,1,25,Summer
2745,2011-04-29,2,0,4,6,0,5,1,1,71,Summer
2746,2011-04-29,2,0,4,7,0,5,1,1,240,Summer
2747,2011-04-29,2,0,4,8,0,5,1,1,421,Summer
2748,2011-04-29,2,0,4,9,0,5,1,1,230,Summer
2749,2011-04-29,2,0,4,10,0,5,1,1,156,Summer
2750,2011-04-29,2,0,4,11,0,5,1,1,157,Summer
2751,2011-04-29,2,0,4,12,0,5,1,1,223,Summer
2752,2011-04-29,2,0,4,13,0,5,1,1,308,Summer
2753,2011-04-29,2,0,4,14,0,5,1,1,248,Summer
2754,2011-04-29,2,0,4,15,0,5,1,2,252,Summer
2755,2011-04-29,2,0,4,16,0,5,1,2,299,Summer
2756,2011-04-29,2,0,4,17,0,5,1,2,508,Summer
2757,2011-04-29,2,0,4,18,0,5,1,1,439,Summer
2758,2011-04-29,2,0,4,19,0,5,1,1,270,Summer
2759,2011-04-29,2,0,4,20,0,5,1,1,194,Summer
2760,2011-04-29,2,0,4,21,0,5,1,1,195,Summer
2761,2011-04-29,2,0,4,22,0,5,1,1,146,Summer
2762,2011-04-29,2,0,4,23,0,5,1,2,113,Summer
2763,2011-04-30,2,0,4,0,0,6,0,2,106,Summer
2764,2011-04-30,2,0,4,1,0,6,0,2,74,Summer
2765,2011-04-30,2,0,4,2,0,6,0,2,65,Summer
2766,2011-04-30,2,0,4,3,0,6,0,2,17,Summer
2767,2011-04-30,2,0,4,4,0,6,0,2,7,Summer
2768,2011-04-30,2,0,4,5,0,6,0,1,7,Summer
2769,2011-04-30,2,0,4,6,0,6,0,1,21,Summer
2770,2011-04-30,2,0,4,7,0,6,0,1,48,Summer
2771,2011-04-30,2,0,4,8,0,6,0,1,91,Summer
2772,2011-04-30,2,0,4,9,0,6,0,1,156,Summer
2773,2011-04-30,2,0,4,10,0,6,0,1,279,Summer
2774,2011-04-30,2,0,4,11,0,6,0,1,321,Summer
2775,2011-04-30,2,0,4,12,0,6,0,1,416,Summer
2776,2011-04-30,2,0,4,13,0,6,0,1,455,Summer
2777,2011-04-30,2,0,4,14,0,6,0,1,452,Summer
2778,2011-04-30,2,0,4,15,0,6,0,1,499,Summer
2779,2011-04-30,2,0,4,16,0,6,0,1,464,Summer
2780,2011-04-30,2,0,4,17,0,6,0,1,407,Summer
2781,2011-04-30,2,0,4,18,0,6,0,1,371,Summer
2782,2011-04-30,2,0,4,19,0,6,0,1,387,Summer
2783,2011-04-30,2,0,4,20,0,6,0,1,224,Summer
2784,2011-04-30,2,0,4,21,0,6,0,1,177,Summer
2785,2011-04-30,2,0,4,22,0,6,0,1,143,Summer
2786,2011-04-30,2,0,4,23,0,6,0,1,125,Summer
2787,2011-05-01,2,0,5,0,0,0,0,1,96,Summer
2788,2011-05-01,2,0,5,1,0,0,0,1,59,Summer
2789,2011-05-01,2,0,5,2,0,0,0,1,50,Summer
2790,2011-05-01,2,0,5,3,0,0,0,1,23,Summer
2791,2011-05-01,2,0,5,4,0,0,0,1,17,Summer
2792,2011-05-01,2,0,5,5,0,0,0,1,10,Summer
2793,2011-05-01,2,0,5,6,0,0,0,2,13,Summer
2794,2011-05-01,2,0,5,7,0,0,0,2,33,Summer
2795,2011-05-01,2,0,5,8,0,0,0,2,59,Summer
2796,2011-05-01,2,0,5,9,0,0,0,2,141,Summer
2797,2011-05-01,2,0,5,10,0,0,0,2,264,Summer
2798,2011-05-01,2,0,5,11,0,0,0,1,250,Summer
2799,2011-05-01,2,0,5,12,0,0,0,2,281,Summer
2800,2011-05-01,2,0,5,13,0,0,0,2,332,Summer
2801,2011-05-01,2,0,5,14,0,0,0,2,238,Summer
2802,2011-05-01,2,0,5,15,0,0,0,2,266,Summer
2803,2011-05-01,2,0,5,16,0,0,0,2,214,Summer
2804,2011-05-01,2,0,5,17,0,0,0,2,196,Summer
2805,2011-05-01,2,0,5,18,0,0,0,2,159,Summer
2806,2011-05-01,2,0,5,19,0,0,0,2,178,Summer
2807,2011-05-01,2,0,5,20,0,0,0,2,121,Summer
2808,2011-05-01,2,0,5,21,0,0,0,2,105,Summer
2809,2011-05-01,2,0,5,22,0,0,0,2,100,Summer
2810,2011-05-01,2,0,5,23,0,0,0,1,146,Summer
2811,2011-05-02,2,0,5,0,0,1,1,1,177,Summer
2812,2011-05-02,2,0,5,1,0,1,1,1,114,Summer
2813,2011-05-02,2,0,5,2,0,1,1,2,35,Summer
2814,2011-05-02,2,0,5,3,0,1,1,1,16,Summer
2815,2011-05-02,2,0,5,4,0,1,1,1,17,Summer
2816,2011-05-02,2,0,5,5,0,1,1,2,20,Summer
2817,2011-05-02,2,0,5,6,0,1,1,1,62,Summer
2818,2011-05-02,2,0,5,7,0,1,1,2,209,Summer
2819,2011-05-02,2,0,5,8,0,1,1,2,371,Summer
2820,2011-05-02,2,0,5,9,0,1,1,2,172,Summer
2821,2011-05-02,2,0,5,10,0,1,1,2,108,Summer
2822,2011-05-02,2,0,5,11,0,1,1,1,130,Summer
2823,2011-05-02,2,0,5,12,0,1,1,1,187,Summer
2824,2011-05-02,2,0,5,13,0,1,1,2,170,Summer
2825,2011-05-02,2,0,5,14,0,1,1,1,181,Summer
2826,2011-05-02,2,0,5,15,0,1,1,1,155,Summer
2827,2011-05-02,2,0,5,16,0,1,1,1,269,Summer
2828,2011-05-02,2,0,5,17,0,1,1,1,537,Summer
2829,2011-05-02,2,0,5,18,0,1,1,2,518,Summer
2830,2011-05-02,2,0,5,19,0,1,1,2,314,Summer
2831,2011-05-02,2,0,5,20,0,1,1,2,218,Summer
2832,2011-05-02,2,0,5,21,0,1,1,2,232,Summer
2833,2011-05-02,2,0,5,22,0,1,1,2,125,Summer
2834,2011-05-02,2,0,5,23,0,1,1,2,64,Summer
2835,2011-05-03,2,0,5,0,0,2,1,2,16,Summer
2836,2011-05-03,2,0,5,1,0,2,1,2,14,Summer
2837,2011-05-03,2,0,5,2,0,2,1,2,5,Summer
2838,2011-05-03,2,0,5,3,0,2,1,1,2,Summer
2839,2011-05-03,2,0,5,4,0,2,1,1,4,Summer
2840,2011-05-03,2,0,5,5,0,2,1,1,14,Summer
2841,2011-05-03,2,0,5,6,0,2,1,2,109,Summer
2842,2011-05-03,2,0,5,7,0,2,1,2,265,Summer
2843,2011-05-03,2,0,5,8,0,2,1,2,459,Summer
2844,2011-05-03,2,0,5,9,0,2,1,2,186,Summer
2845,2011-05-03,2,0,5,10,0,2,1,2,127,Summer
2846,2011-05-03,2,0,5,11,0,2,1,2,140,Summer
2847,2011-05-03,2,0,5,12,0,2,1,2,217,Summer
2848,2011-05-03,2,0,5,13,0,2,1,2,194,Summer
2849,2011-05-03,2,0,5,14,0,2,1,2,158,Summer
2850,2011-05-03,2,0,5,15,0,2,1,2,154,Summer
2851,2011-05-03,2,0,5,16,0,2,1,1,271,Summer
2852,2011-05-03,2,0,5,17,0,2,1,1,517,Summer
2853,2011-05-03,2,0,5,18,0,2,1,1,544,Summer
2854,2011-05-03,2,0,5,19,0,2,1,1,365,Summer
2855,2011-05-03,2,0,5,20,0,2,1,1,290,Summer
2856,2011-05-03,2,0,5,21,0,2,1,2,225,Summer
2857,2011-05-03,2,0,5,22,0,2,1,2,113,Summer
2858,2011-05-03,2,0,5,23,0,2,1,2,62,Summer
2859,2011-05-04,2,0,5,0,0,3,1,3,27,Summer
2860,2011-05-04,2,0,5,1,0,3,1,3,7,Summer
2861,2011-05-04,2,0,5,2,0,3,1,3,4,Summer
2862,2011-05-04,2,0,5,3,0,3,1,3,1,Summer
2863,2011-05-04,2,0,5,4,0,3,1,3,3,Summer
2864,2011-05-04,2,0,5,5,0,3,1,3,9,Summer
2865,2011-05-04,2,0,5,6,0,3,1,3,21,Summer
2866,2011-05-04,2,0,5,7,0,3,1,3,52,Summer
2867,2011-05-04,2,0,5,8,0,3,1,3,79,Summer
2868,2011-05-04,2,0,5,9,0,3,1,3,40,Summer
2869,2011-05-04,2,0,5,10,0,3,1,2,31,Summer
2870,2011-05-04,2,0,5,11,0,3,1,1,72,Summer
2871,2011-05-04,2,0,5,12,0,3,1,2,124,Summer
2872,2011-05-04,2,0,5,13,0,3,1,2,143,Summer
2873,2011-05-04,2,0,5,14,0,3,1,1,107,Summer
2874,2011-05-04,2,0,5,15,0,3,1,1,129,Summer
2875,2011-05-04,2,0,5,16,0,3,1,1,195,Summer
2876,2011-05-04,2,0,5,17,0,3,1,1,410,Summer
2877,2011-05-04,2,0,5,18,0,3,1,1,396,Summer
2878,2011-05-04,2,0,5,19,0,3,1,1,296,Summer
2879,2011-05-04,2,0,5,20,0,3,1,1,191,Summer
2880,2011-05-04,2,0,5,21,0,3,1,1,150,Summer
2881,2011-05-04,2,0,5,22,0,3,1,1,89,Summer
2882,2011-05-04,2,0,5,23,0,3,1,1,57,Summer
2883,2011-05-05,2,0,5,0,0,4,1,1,27,Summer
2884,2011-05-05,2,0,5,1,0,4,1,1,10,Summer
2885,2011-05-05,2,0,5,2,0,4,1,1,5,Summer
2886,2011-05-05,2,0,5,3,0,4,1,1,4,Summer
2887,2011-05-05,2,0,5,4,0,4,1,1,7,Summer
2888,2011-05-05,2,0,5,5,0,4,1,1,30,Summer
2889,2011-05-05,2,0,5,6,0,4,1,1,89,Summer
2890,2011-05-05,2,0,5,7,0,4,1,1,271,Summer
2891,2011-05-05,2,0,5,8,0,4,1,1,440,Summer
2892,2011-05-05,2,0,5,9,0,4,1,1,184,Summer
2893,2011-05-05,2,0,5,10,0,4,1,1,128,Summer
2894,2011-05-05,2,0,5,11,0,4,1,1,148,Summer
2895,2011-05-05,2,0,5,12,0,4,1,1,196,Summer
2896,2011-05-05,2,0,5,13,0,4,1,1,192,Summer
2897,2011-05-05,2,0,5,14,0,4,1,1,154,Summer
2898,2011-05-05,2,0,5,15,0,4,1,1,147,Summer
2899,2011-05-05,2,0,5,16,0,4,1,1,269,Summer
2900,2011-05-05,2,0,5,17,0,4,1,1,533,Summer
2901,2011-05-05,2,0,5,18,0,4,1,1,520,Summer
2902,2011-05-05,2,0,5,19,0,4,1,1,361,Summer
2903,2011-05-05,2,0,5,20,0,4,1,1,258,Summer
2904,2011-05-05,2,0,5,21,0,4,1,1,180,Summer
2905,2011-05-05,2,0,5,22,0,4,1,1,165,Summer
2906,2011-05-05,2,0,5,23,0,4,1,1,115,Summer
2907,2011-05-06,2,0,5,0,0,5,1,1,56,Summer
2908,2011-05-06,2,0,5,1,0,5,1,1,32,Summer
2909,2011-05-06,2,0,5,2,0,5,1,1,16,Summer
2910,2011-05-06,2,0,5,3,0,5,1,1,9,Summer
2911,2011-05-06,2,0,5,4,0,5,1,1,1,Summer
2912,2011-05-06,2,0,5,5,0,5,1,1,16,Summer
2913,2011-05-06,2,0,5,6,0,5,1,1,82,Summer
2914,2011-05-06,2,0,5,7,0,5,1,1,222,Summer
2915,2011-05-06,2,0,5,8,0,5,1,1,450,Summer
2916,2011-05-06,2,0,5,9,0,5,1,1,188,Summer
2917,2011-05-06,2,0,5,10,0,5,1,2,127,Summer
2918,2011-05-06,2,0,5,11,0,5,1,2,165,Summer
2919,2011-05-06,2,0,5,12,0,5,1,1,246,Summer
2920,2011-05-06,2,0,5,13,0,5,1,1,253,Summer
2921,2011-05-06,2,0,5,14,0,5,1,1,213,Summer
2922,2011-05-06,2,0,5,15,0,5,1,1,260,Summer
2923,2011-05-06,2,0,5,16,0,5,1,1,344,Summer
2924,2011-05-06,2,0,5,17,0,5,1,1,553,Summer
2925,2011-05-06,2,0,5,18,0,5,1,3,470,Summer
2926,2011-05-06,2,0,5,19,0,5,1,3,292,Summer
2927,2011-05-06,2,0,5,20,0,5,1,1,190,Summer
2928,2011-05-06,2,0,5,21,0,5,1,1,152,Summer
2929,2011-05-06,2,0,5,22,0,5,1,1,151,Summer
2930,2011-05-06,2,0,5,23,0,5,1,1,120,Summer
2931,2011-05-07,2,0,5,0,0,6,0,1,86,Summer
2932,2011-05-07,2,0,5,1,0,6,0,1,58,Summer
2933,2011-05-07,2,0,5,2,0,6,0,1,52,Summer
2934,2011-05-07,2,0,5,3,0,6,0,1,18,Summer
2935,2011-05-07,2,0,5,4,0,6,0,1,5,Summer
2936,2011-05-07,2,0,5,5,0,6,0,1,7,Summer
2937,2011-05-07,2,0,5,6,0,6,0,1,13,Summer
2938,2011-05-07,2,0,5,7,0,6,0,1,40,Summer
2939,2011-05-07,2,0,5,8,0,6,0,1,115,Summer
2940,2011-05-07,2,0,5,9,0,6,0,1,218,Summer
2941,2011-05-07,2,0,5,10,0,6,0,1,298,Summer
2942,2011-05-07,2,0,5,11,0,6,0,1,347,Summer
2943,2011-05-07,2,0,5,12,0,6,0,1,373,Summer
2944,2011-05-07,2,0,5,13,0,6,0,1,436,Summer
2945,2011-05-07,2,0,5,14,0,6,0,3,378,Summer
2946,2011-05-07,2,0,5,15,0,6,0,1,378,Summer
2947,2011-05-07,2,0,5,16,0,6,0,1,342,Summer
2948,2011-05-07,2,0,5,17,0,6,0,1,354,Summer
2949,2011-05-07,2,0,5,18,0,6,0,1,289,Summer
2950,2011-05-07,2,0,5,19,0,6,0,1,267,Summer
2951,2011-05-07,2,0,5,20,0,6,0,1,219,Summer
2952,2011-05-07,2,0,5,21,0,6,0,1,182,Summer
2953,2011-05-07,2,0,5,22,0,6,0,1,120,Summer
2954,2011-05-07,2,0,5,23,0,6,0,1,119,Summer
2955,2011-05-08,2,0,5,0,0,0,0,2,100,Summer
2956,2011-05-08,2,0,5,1,0,0,0,2,64,Summer
2957,2011-05-08,2,0,5,2,0,0,0,1,59,Summer
2958,2011-05-08,2,0,5,3,0,0,0,1,31,Summer
2959,2011-05-08,2,0,5,4,0,0,0,1,10,Summer
2960,2011-05-08,2,0,5,5,0,0,0,2,5,Summer
2961,2011-05-08,2,0,5,6,0,0,0,2,6,Summer
2962,2011-05-08,2,0,5,7,0,0,0,2,23,Summer
2963,2011-05-08,2,0,5,8,0,0,0,1,86,Summer
2964,2011-05-08,2,0,5,9,0,0,0,1,160,Summer
2965,2011-05-08,2,0,5,10,0,0,0,1,244,Summer
2966,2011-05-08,2,0,5,11,0,0,0,1,340,Summer
2967,2011-05-08,2,0,5,12,0,0,0,1,382,Summer
2968,2011-05-08,2,0,5,13,0,0,0,1,390,Summer
2969,2011-05-08,2,0,5,14,0,0,0,1,366,Summer
2970,2011-05-08,2,0,5,15,0,0,0,1,358,Summer
2971,2011-05-08,2,0,5,16,0,0,0,1,385,Summer
2972,2011-05-08,2,0,5,17,0,0,0,3,351,Summer
2973,2011-05-08,2,0,5,18,0,0,0,1,268,Summer
2974,2011-05-08,2,0,5,19,0,0,0,1,239,Summer
2975,2011-05-08,2,0,5,20,0,0,0,1,174,Summer
2976,2011-05-08,2,0,5,21,0,0,0,1,127,Summer
2977,2011-05-08,2,0,5,22,0,0,0,1,115,Summer
2978,2011-05-08,2,0,5,23,0,0,0,1,50,Summer
2979,2011-05-09,2,0,5,0,0,1,1,1,53,Summer
2980,2011-05-09,2,0,5,1,0,1,1,1,33,Summer
2981,2011-05-09,2,0,5,2,0,1,1,1,8,Summer
2982,2011-05-09,2,0,5,3,0,1,1,1,7,Summer
2983,2011-05-09,2,0,5,4,0,1,1,1,4,Summer
2984,2011-05-09,2,0,5,5,0,1,1,1,23,Summer
2985,2011-05-09,2,0,5,6,0,1,1,1,89,Summer
2986,2011-05-09,2,0,5,7,0,1,1,1,237,Summer
2987,2011-05-09,2,0,5,8,0,1,1,1,374,Summer
2988,2011-05-09,2,0,5,9,0,1,1,1,178,Summer
2989,2011-05-09,2,0,5,10,0,1,1,1,119,Summer
2990,2011-05-09,2,0,5,11,0,1,1,1,125,Summer
2991,2011-05-09,2,0,5,12,0,1,1,1,195,Summer
2992,2011-05-09,2,0,5,13,0,1,1,1,174,Summer
2993,2011-05-09,2,0,5,14,0,1,1,1,162,Summer
2994,2011-05-09,2,0,5,15,0,1,1,1,199,Summer
2995,2011-05-09,2,0,5,16,0,1,1,1,304,Summer
2996,2011-05-09,2,0,5,17,0,1,1,1,598,Summer
2997,2011-05-09,2,0,5,18,0,1,1,1,524,Summer
2998,2011-05-09,2,0,5,19,0,1,1,1,384,Summer
2999,2011-05-09,2,0,5,20,0,1,1,1,239,Summer
3000,2011-05-09,2,0,5,21,0,1,1,1,156,Summer
3001,2011-05-09,2,0,5,22,0,1,1,1,116,Summer
3002,2011-05-09,2,0,5,23,0,1,1,1,61,Summer
3003,2011-05-10,2,0,5,0,0,2,1,1,18,Summer
3004,2011-05-10,2,0,5,1,0,2,1,1,15,Summer
3005,2011-05-10,2,0,5,2,0,2,1,1,5,Summer
3006,2011-05-10,2,0,5,3,0,2,1,1,4,Summer
3007,2011-05-10,2,0,5,4,0,2,1,1,2,Summer
3008,2011-05-10,2,0,5,5,0,2,1,1,29,Summer
3009,2011-05-10,2,0,5,6,0,2,1,1,112,Summer
3010,2011-05-10,2,0,5,7,0,2,1,2,314,Summer
3011,2011-05-10,2,0,5,8,0,2,1,2,425,Summer
3012,2011-05-10,2,0,5,9,0,2,1,2,205,Summer
3013,2011-05-10,2,0,5,10,0,2,1,2,127,Summer
3014,2011-05-10,2,0,5,11,0,2,1,2,125,Summer
3015,2011-05-10,2,0,5,12,0,2,1,2,217,Summer
3016,2011-05-10,2,0,5,13,0,2,1,2,202,Summer
3017,2011-05-10,2,0,5,14,0,2,1,2,176,Summer
3018,2011-05-10,2,0,5,15,0,2,1,2,180,Summer
3019,2011-05-10,2,0,5,16,0,2,1,1,327,Summer
3020,2011-05-10,2,0,5,17,0,2,1,1,611,Summer
3021,2011-05-10,2,0,5,18,0,2,1,1,550,Summer
3022,2011-05-10,2,0,5,19,0,2,1,1,434,Summer
3023,2011-05-10,2,0,5,20,0,2,1,1,291,Summer
3024,2011-05-10,2,0,5,21,0,2,1,1,203,Summer
3025,2011-05-10,2,0,5,22,0,2,1,1,150,Summer
3026,2011-05-10,2,0,5,23,0,2,1,2,81,Summer
3027,2011-05-11,2,0,5,0,0,3,1,2,38,Summer
3028,2011-05-11,2,0,5,1,0,3,1,2,20,Summer
3029,2011-05-11,2,0,5,2,0,3,1,1,10,Summer
3030,2011-05-11,2,0,5,3,0,3,1,1,3,Summer
3031,2011-05-11,2,0,5,4,0,3,1,2,2,Summer
3032,2011-05-11,2,0,5,5,0,3,1,1,20,Summer
3033,2011-05-11,2,0,5,6,0,3,1,1,99,Summer
3034,2011-05-11,2,0,5,7,0,3,1,1,318,Summer
3035,2011-05-11,2,0,5,8,0,3,1,1,442,Summer
